	Unnamed: 0	matched_Node1_textlabel	matched_Node2_textlabel	hmdb_id_node_1	hmdb_id_node_2	substrate_name	product_name
58	245	Methionine sulfoxide	Methionine	HMDB0002005	HMDB0000696	methionine sulfoxide	methionine
59	259	EPA	EPA	HMDB0001999	HMDB0001999	eicosapentaenoate (epa; 20:5n3)	eicosapentaenoate (epa; 20:5n3)
60	269	Cysteine	Cysteine	HMDB0000574	HMDB0000574	cysteine	cysteine
61	273	Xanthine	Uric acid	HMDB0000292	HMDB0000289	xanthine	urate
62	274	FAD	Uric acid	HMDB0001248	HMDB0000289	flavin adenine dinucleotide (fad)	urate
63	275	Xanthine	Xanthine	HMDB0000292	HMDB0000292	xanthine	xanthine
64	290	Hypoxanthine	Hypoxanthine	HMDB0000157	HMDB0000157	hypoxanthine	hypoxanthine
65	291	Hypoxanthine	Hypoxanthine	HMDB0000157	HMDB0000157	hypoxanthine	hypoxanthine
66	325	Uric acid	Uric acid	HMDB0000289	HMDB0000289	urate	urate
67	327	Methionine	Methionine	HMDB0000696	HMDB0000696	methionine	methionine
68	340	DPA	DPA	HMDB0001976	HMDB0001976	docosapentaenoate (n6 dpa; 22:5n6)	docosapentaenoate (n6 dpa; 22:5n6)
69	350	DHA	DHA	HMDB0002183	HMDB0002183	docosahexaenoate (dha; 22:6n3)	docosahexaenoate (dha; 22:6n3)
70	358	Riboflavin	Riboflavin	HMDB0000244	HMDB0000244	riboflavin (vitamin b2)	riboflavin (vitamin b2)
71	359	Cystathionine	Cysteine	HMDB0000099	HMDB0000574	cystathionine	cysteine
72	362	Serine	Serine	HMDB0000187	HMDB0000187	serine	serine
73	428	ADP	ADP	HMDB0001341	HMDB0001341	adenosine 5'-diphosphate (adp)	adenosine 5'-diphosphate (adp)
74	13	Cysteine	Cystathionine	HMDB0000574	HMDB0000099	cysteine	cystathionine
75	15	Cystathionine	Cysteine	HMDB0000099	HMDB0000574	cystathionine	cysteine
76	38	Serine	Cystathionine	HMDB0000187	HMDB0000099	serine	cystathionine
77	98	Glucose	Glucose	HMDB0000122	HMDB0000122	glucose	glucose
78	126	Cholesterol	Cholesterol	HMDB0000067	HMDB0000067	cholesterol	cholesterol
79	127	Serine	Glycine	HMDB0000187	HMDB0000123	serine	glycine
80	129	Serine	Serine	HMDB0000187	HMDB0000187	serine	serine
81	143	Methionine	Methionine	HMDB0000696	HMDB0000696	methionine	methionine
82	150	Cystathionine	Cysteine	HMDB0000099	HMDB0000574	cystathionine	cysteine
83	190	Glycine	Glycine	HMDB0000123	HMDB0000123	glycine	glycine
84	192	Cysteine	Cysteine	HMDB0000574	HMDB0000574	cysteine	cysteine
85	15	Cotinine	Cotinine	HMDB0001046	HMDB0001046	cotinine	cotinine
86	8	4OH-phenylpyruvate	4OH-phenyllactate	HMDB0000707	HMDB0000755	4-hydroxyphenylpyruvate	3-(4-hydroxyphenyl)lactate
87	43	Cytidine	Uridine	HMDB0000089	HMDB0000296	cytidine	uridine
88	3	L-Methionine	L-Methionine	HMDB0000696	HMDB0000696	methionine	methionine
