	Unnamed: 0	matched_Node1_textlabel	matched_Node2_textlabel	hmdb_id_node_1	hmdb_id_node_2	substrate_name	product_name
152	331	Beta-Alanine	Beta-Alanine	HMDB0000056	HMDB0000056	beta-alanine	beta-alanine
153	332	Ureidopropionic acid	Ureidopropionic acid	HMDB0000026	HMDB0000026	3-ureidopropionate	3-ureidopropionate
154	347	Dihydrothymine	Dihydrothymine	HMDB0000079	HMDB0000079	5,6-dihydrothymine	5,6-dihydrothymine
155	447	Cortisol	Cortisol	HMDB0000063	HMDB0000063	cortisol	cortisol
156	448	Cortisol	Cortisone	HMDB0000063	HMDB0002802	cortisol	cortisone
157	449	Cortisone	Cortisone	HMDB0002802	HMDB0002802	cortisone	cortisone
158	476	Cholesterol	Cholesterol	HMDB0000067	HMDB0000067	cholesterol	cholesterol
159	497	Cholic acid	Cholic acid	HMDB0000619	HMDB0000619	cholate	cholate
160	499	Taurocholic acid	Taurocholic acid	HMDB0000036	HMDB0000036	taurocholate	taurocholate
161	501	Glycocholic acid	Glycocholic acid	HMDB0000138	HMDB0000138	glycohyocholate	glycohyocholate
162	516	Lathosterol	Lathosterol	HMDB0001170	HMDB0001170	lathosterol	lathosterol
163	555	Pantothenic acid	Pantothenic acid	HMDB0000210	HMDB0000210	pantothenate	pantothenate
164	558	L-Cysteine	L-Cysteine	HMDB0000574	HMDB0000574	cysteine	cysteine
165	580	L-Valine	Alpha-ketoisovaleric acid	HMDB0000883	HMDB0000019	valine	3-methyl-2-oxobutyrate
166	581	Alpha-ketoisovaleric acid	Alpha-ketoisovaleric acid	HMDB0000019	HMDB0000019	3-methyl-2-oxobutyrate	3-methyl-2-oxobutyrate
167	582	L-Valine	L-Valine	HMDB0000883	HMDB0000883	valine	valine
168	597	(S)-b-aminoisobutyric acid	(S)-b-aminoisobutyric acid	HMDB0002166	HMDB0002166	3-aminoisobutyrate	3-aminoisobutyrate
169	598	L-Isoleucine	3-Methyl-2-oxovaleric acid	HMDB0000172	HMDB0000491	isoleucine	3-methyl-2-oxovalerate
170	599	3-Methyl-2-oxovaleric acid	3-Methyl-2-oxovaleric acid	HMDB0000491	HMDB0000491	3-methyl-2-oxovalerate	3-methyl-2-oxovalerate
171	600	L-Isoleucine	L-Isoleucine	HMDB0000172	HMDB0000172	isoleucine	isoleucine
172	613	L-Leucine	Ketoleucine	HMDB0000687	HMDB0000695	leucine	4-methyl-2-oxopentanoate
173	614	Ketoleucine	Ketoleucine	HMDB0000695	HMDB0000695	4-methyl-2-oxopentanoate	4-methyl-2-oxopentanoate
174	615	L-Leucine	L-Leucine	HMDB0000687	HMDB0000687	leucine	leucine
175	625	Glycerol 3-phosphate	Glycerol 3-phosphate	HMDB0000126	HMDB0000126	glycerol 3-phosphate	glycerol 3-phosphate
176	626	Glycerol 3-phosphate	Glycerol	HMDB0000126	HMDB0000131	glycerol 3-phosphate	glycerol
177	627	Glycerol	Glycerol	HMDB0000131	HMDB0000131	glycerol	glycerol
178	628	Glycerol 3-phosphate	Glycerylphosphorylethanolamine	HMDB0000126	HMDB0000114	glycerol 3-phosphate	glycerophosphoethanolamine
179	629	Glycerylphosphorylethanolamine	Glycerylphosphorylethanolamine	HMDB0000114	HMDB0000114	glycerophosphoethanolamine	glycerophosphoethanolamine
180	633	D-Mannose	D-Mannose	HMDB0000169	HMDB0000169	mannose	mannose
181	640	Gluconic acid	Gluconic acid	HMDB0000625	HMDB0000625	gluconate	gluconate
